time_now,wd_avg_2mins,ws_avg_2mins,wd_avg_10mins,ws_avg_10mins,wd_maxsp_this_min,ws_maxsp_this_min,air_temp_by_box,relative_humidity,water_vapor_pressure,dew_temp,station_pressure,ground_temp_pt,ground_tem_5cm,ground_tem_10cm,ground_tem_15cm,ground_tem_20cm
2016-12-01 20:01:00,15,10,19,12,16,12,87,87,98,67,10315,65,93,111,123,128
2016-12-01 20:02:00,11,10,18,11,7,14,87,86,97,65,10315,65,93,111,123,128
2016-12-01 20:03:00,12,8,18,10,18,7,87,86,97,65,10315,64,93,111,123,128
2016-12-01 20:04:00,8,6,16,10,358,11,87,86,97,65,10315,65,92,111,123,128
2016-12-01 20:05:00,5,6,15,9,12,11,87,86,97,65,10316,65,92,111,123,128
2016-12-01 20:06:00,8,7,13,9,3,11,87,86,97,65,10316,65,92,111,123,128
2016-12-01 20:07:00,4,10,11,9,5,19,87,86,97,65,10316,65,92,111,123,128
2016-12-01 20:08:00,7,13,11,9,9,16,88,86,97,66,10317,64,92,111,123,128
2016-12-01 20:09:00,6,13,9,9,4,17,88,85,96,64,10317,64,92,111,123,128
2016-12-01 20:10:00,4,14,8,10,4,18,88,85,96,64,10316,64,92,111,123,128
2016-12-01 20:11:00,15,18,8,11,25,27,89,85,97,65,10316,65,92,111,123,128
2016-12-01 20:12:00,23,21,10,12,20,29,90,85,98,66,10316,65,92,111,123,128
2016-12-01 20:13:00,13,19,9,13,6,25,91,85,98,67,10317,67,91,110,122,128
2016-12-01 20:14:00,9,16,10,14,12,20,92,84,98,66,10317,67,91,110,122,128
2016-12-01 20:15:00,11,13,10,14,11,13,93,84,98,67,10317,68,91,110,122,128
2016-12-01 20:16:00,11,12,11,15,11,21,93,83,97,66,10316,68,91,110,122,128
2016-12-01 20:17:00,9,12,11,15,6,14,93,83,97,66,10316,68,91,110,122,128
2016-12-01 20:18:00,2,11,10,15,358,19,94,82,97,65,10316,68,91,110,122,128
2016-12-01 20:19:00,7,9,11,14,16,10,94,82,97,65,10316,68,91,110,122,128
2016-12-01 20:20:00,13,6,12,14,11,19,94,81,95,63,10317,68,91,110,122,128
2016-12-01 20:21:00,2,9,8,13,352,19,94,81,95,63,10317,67,91,110,122,128
2016-12-01 20:22:00,348,12,5,12,344,15,95,81,96,64,10318,67,91,110,122,128
2016-12-01 20:23:00,349,13,3,11,353,25,96,81,97,65,10318,67,91,110,122,128
2016-12-01 20:24:00,353,14,1,11,352,19,97,81,97,66,10318,68,90,110,122,128
2016-12-01 20:25:00,6,11,2,11,20,19,97,81,97,66,10318,68,90,109,122,128
2016-12-01 20:26:00,13,11,2,11,7,21,97,80,96,64,10317,69,90,109,122,127
2016-12-01 20:27:00,9,15,2,12,10,21,98,80,97,65,10317,69,90,109,122,127
2016-12-01 20:28:00,13,16,4,12,15,21,98,80,97,65,10318,68,90,109,122,127
2016-12-01 20:29:00,13,15,3,13,10,22,98,80,97,65,10318,69,90,109,121,127
2016-12-01 20:30:00,2,17,2,14,355,33,98,80,97,65,10318,68,90,109,121,127
2016-12-01 20:31:00,2,20,4,15,9,31,99,79,96,64,10318,68,90,109,121,127
2016-12-01 20:32:00,6,19,6,15,4,23,100,79,97,65,10317,69,90,109,121,127
2016-12-01 20:33:00,8,14,7,15,11,14,100,79,97,65,10317,69,90,109,121,127
2016-12-01 20:34:00,14,12,10,15,17,23,100,79,97,65,10317,69,90,109,121,127
2016-12-01 20:35:00,17,17,9,16,16,24,101,79,98,66,10317,70,90,109,121,127
2016-12-01 20:36:00,6,17,8,16,356,25,102,78,97,65,10318,72,90,109,121,127
2016-12-01 20:37:00,2,13,8,16,7,17,102,78,97,65,10318,73,90,108,121,127
2016-12-01 20:38:00,3,11,6,15,359,15,102,78,97,65,10318,73,90,108,121,127
2016-12-01 20:39:00,1,9,6,15,4,11,102,78,97,65,10317,72,90,108,121,127
2016-12-01 20:40:00,12,9,8,14,21,16,101,77,95,63,10317,71,89,108,121,127
2016-12-01 20:41:00,11,8,7,12,0,13,101,77,95,63,10317,70,89,108,121,127
2016-12-01 20:42:00,8,10,9,12,17,20,101,78,96,64,10317,69,89,108,121,127
2016-12-01 20:43:00,10,13,8,12,4,18,101,78,96,64,10318,69,89,108,121,127
2016-12-01 20:44:00,5,10,7,12,7,15,101,77,95,63,10318,70,89,108,121,127
2016-12-01 20:45:00,16,11,8,11,26,21,102,77,96,64,10318,70,89,108,121,127
2016-12-01 20:46:00,20,15,10,11,15,29,102,77,96,64,10318,70,89,108,120,127
2016-12-01 20:47:00,21,16,12,12,28,31,102,77,96,64,10318,70,89,108,120,127
2016-12-01 20:48:00,21,16,13,12,13,21,102,77,96,64,10318,71,89,108,120,127
2016-12-01 20:49:00,4,12,13,12,355,15,102,77,96,64,10319,72,89,108,120,127
2016-12-01 20:50:00,359,13,11,13,4,24,103,77,96,64,10319,72,89,108,120,127
2016-12-01 20:51:00,6,15,12,14,8,17,103,77,96,64,10319,74,89,108,120,127
2016-12-01 20:52:00,5,10,10,13,2,17,103,77,96,64,10319,73,89,107,120,127
2016-12-01 20:53:00,12,13,12,14,22,25,103,77,96,64,10319,72,89,107,120,126
2016-12-01 20:54:00,24,15,14,14,27,17,103,77,96,64,10319,72,89,107,120,126
2016-12-01 20:55:00,23,11,13,14,19,13,103,77,96,64,10319,73,89,107,120,126
2016-12-01 20:56:00,21,10,14,13,24,13,103,77,96,64,10319,72,89,107,120,126
2016-12-01 20:57:00,22,9,14,12,21,10,103,77,96,64,10319,71,89,107,120,126
2016-12-01 20:58:00,22,9,15,11,23,20,103,77,96,64,10319,70,89,107,120,126
2016-12-01 20:59:00,15,13,16,12,6,23,103,77,96,64,10320,69,89,107,120,126
2016-12-01 21:00:00,7,16,16,12,7,23,103,77,96,64,10320,70,89,107,120,126
2016-12-01 21:01:00,9,13,16,12,10,18,103,77,96,64,10320,70,89,107,120,126
2016-12-01 21:02:00,6,11,16,12,2,14,102,77,96,64,10320,70,88,107,120,126
2016-12-01 21:03:00,12,9,16,11,22,13,102,77,96,64,10320,69,88,107,119,126
2016-12-01 21:04:00,20,9,15,11,18,15,102,77,96,64,10320,69,88,107,119,126
2016-12-01 21:05:00,15,13,15,11,13,18,102,77,96,64,10320,68,88,107,119,126
2016-12-01 21:06:00,11,14,13,12,9,20,102,77,96,64,10320,68,88,106,119,126
2016-12-01 21:07:00,11,12,12,12,13,14,102,77,96,64,10320,68,88,106,119,126
2016-12-01 21:08:00,10,13,11,13,7,24,102,77,96,64,10319,68,88,106,119,126
2016-12-01 21:09:00,9,16,11,13,10,20,102,77,96,64,10319,68,88,106,119,126
2016-12-01 21:10:00,15,15,12,12,20,20,102,77,96,64,10319,68,88,106,119,126
2016-12-01 21:11:00,14,11,12,12,9,14,102,77,96,64,10319,70,88,106,119,126
2016-12-01 21:12:00,11,12,13,13,12,15,102,77,96,64,10319,70,88,106,119,126
2016-12-01 21:13:00,8,10,11,13,4,15,102,77,96,64,10319,69,88,106,119,126
2016-12-01 21:14:00,8,8,11,12,13,11,102,77,96,64,10320,69,88,106,119,126
2016-12-01 21:15:00,12,7,11,12,10,14,102,77,96,64,10320,68,88,106,119,126
2016-12-01 21:16:00,7,10,10,12,4,19,102,77,96,64,10320,68,88,106,119,126
2016-12-01 21:17:00,3,16,9,12,3,25,102,76,95,62,10320,69,88,106,119,126
